Square Pharmaceuticals Ltd.

Medicine Name,Company Name
Mexlo® Eye Drops,Lomefloxacin
Miclofenac®,Diclofenac Sodium + Misoprostol
Migranil®,Pizotifen Malate
Mirakof®,Butamirate CItrate
Monera®,Bacopa extract
Montene®,Montelukast
Motifast®,Domperidone
Motigut®,Domperidone
Moxacil®,Amoxicillin Trihydrate
Moxaclav®,Amoxicillin + Clavulanic acid
Mucospel®,Bromhexine HCl
Multivit Plus®,Multivitamin Multimineral
Mymix®,Iron, Folic Acid, Vitamin A, Vitamin C & Zinc
Myonil®,Eperisone HCl 
Nacromin®,Sodium Cromoglycate BP
Nalid®,Nalidixic Acid
Naurif®,Granisetron HCl 
Navit®,Spirulina
Nebanol Plus®,Neomycin Sulphate, Bacitracin Zinc & Polymyxin B Sulpha...
Nebanol®,Neomycin Sulphate + Bacitracin Zinc
NebitaTM,Nebivolol Hydrochloride
Nectar®,Glycerol +Liquid Sugar
Neotack®,Ranitidine HCl
Nepranol®,Neomycin + Polymyxin B + Pramoxine HCl
Neuro-B®,Vitamin B1 +Vitamin B6 +Vitamin B12
Neurolep®,Piracetam
Neurolin®,Pregabalin
Nexum®,Esomeprazole
Nidipine®,Nifedipine
Nidipro®,Nifedipine +Atenolol
Nilac Gel®,Tretinoin
Nimocal®,Nimodipine
Nixalo®,Alprazolam
Nomi®,Zolmitriptan
NorpillTM1,Levonorgestrel
Norvent Inhaler®,Tiotropium Bromide
Norvis®,Tiemonium Methylsulfate
OcubromTM Eye Drops,Bromfenac Sodium
OculantTM Eye Drops,Polyethylene Glycol 400 BP 0.4% and Propylene Glycol BP...
Ofkof®,Dextromethorphane+ Pseudoephedrine HCl+Triprolidine HCl
Ofran®,Ondansetron HCl
Olicod®,Cod Liver Oil
OlistatTM 120,Orlistat
Olmecar Plus®,Olmesartan Medoxomil+Hydrochlorothiazide
Olmecar®,Olmesartan Medoxomil
Oni®,Betamethasone DP + Clotrimazole
Orogel Dental Gel®,Benzocaine
OrostarTM Cool Mint and Original Antiseptic Mouthwash,Menthol + Thymol + Eucalyptol + Methyl Salicylate
OrostarTM Plus,Eucalyptol+Menthol+Methyl Salicylate+Thymol+Sodium Fluo...
Osmolax®,Lactulose
Ostel-D®,Sodium Alendronate +Vit D3
Ostel®,Alendronate Sodium
Oxapro®,Escitalopram
Oxat 20®,Paroxetine HCl 
Oxifun®,Oxiconazole
Oxifyl CR®,Pentoxifylline
PalosetTM,Palonosetron
Panodin SR®,Etodolac
Penrif®,Methyl Salicylate + Menthol
Pentadol®,Tapentadol HCl
Penvik®,Phenoxymethyl Penicillin
Pepnor®,Jeerakaddarishta
Peridol®,Haloperidol
Perkinil®,Procyclidine HCl
Perkirol®,Ropinirole
Peuritar®,Sodium Dichloroisocyanurate
Pevitin®,Econazole Nitrate +Triamcenolone Acetonide
Phylopen®,Flucloxacillin
Piramed®,Topiramate
PivaloTM,Pitavastatin
Potent®,Propiconazole
Prechlor®,Pretilachlor
Prepona®,Butachlor+Propanil
ProbioTM,Probiotic combination
Prolert®,Fluoxetine HCl
Promtil®,Prochlorperazine Mesilate
Pronor®,Finsteride
ProsalicTM Lotion,Betamethasone + Salicylic Acid
Proxivir®,Tenofovir Disoproxil Fumarate
Purotrol®,Levocetirizine
Pychlorex®,Chlorpyrifos
Pylotrip®,Lansoprazole + Clarithromycin + Amoxicillin
Rabeca®,Rabeprazole Sodium INN
Radirif®,Nalbuphine HCl
RanolinTM,Ranolazine
Rectocare®,Nitroglycerin
RedclovTM,Red clover Isoflavones 40 mg
Remac®,Clarithromycin
Remus®,Tacrolimus
Renorma®,Tibolone
Repres plus®,Indapamide + Perindopril
Repres SR®,Indapamide
ResQTM,Coenzyme Q10 (Ubidecarenone USP)
RetabacTM,Retapamulin
RevatolTM, 
ReviraTM,Valaciclovir
Rex®,Beta Carotene + Vit. C + Vit. E
Rice ORS®,Rice based oral rehydration salt
Ripril®,Ramipril
Risedon®,Risedronate Sodium
RisedonTM Plus,Risedronate Sodium & Calcium
RivaXaTM,Rivaroxaban
Robic®,Ornidazole
Rosuva®,Rosuvastatin
RupatrolTM,Rupatadine 10 mg
Rutix®,Ofloxacin
Saga®,Sparfloxacin
Salmate®,Salmeterol
Sanit®,Nortriptyline + Fluphenazine
Scabex®,Permethrin
Seclo®,Omeprazole
Secnid®,Secnidazole
Secrin®,Glimepiride
Sedil®,Diazepam
Sedno®,Desloratadine
Servin®,Dried Ferrous Sulphte + Folic acid + Thiamine Mononitra...
Siglimet®,Sitagliptin+Metformin
SiglimetTM XR,Sitagliptin+Metformin
Siglita®,Sitagliptin
Silybin®,Milk Thistle
Simacor®,Simvastatin
Solo®,Sodium Chloride
SoloTM 0.9% IV,Sodium Chloride BP 0.9% w/v
SolodexTM IV,Sodium Chloride BP 0.9% w/v and Dextrose USP 5% w/v
Sonap®,Naproxen
Specbac®,Meropenem
SplendoraTM,Minoxidil BP
SQ-Mycetin® Eye/Ear Drops,Chloramphenicol
Square Zinc®,Zinc Sulphate Monohydrate
Stronel®,Strontium Ranelate
Suev 10®,Atomoxetine
Sulprex MDI®,Salbutamol + Ipratropium Bromide
Sulprex Nebuliser Solution®,Salbutamol + Ipratropium Bromide
Sultolin HFA®,Salbutamol Sulphate
Sultolin Nebuliser Solution®,Salbutamol
Sultolin Respirator Solution®,Salbutamol Sulphate
Sultolin®,Salbutamol
Sultolin® Cozycap,Salbutamol
SustenTM,Dapoxetine Hydrochloride INN
Suzyme®,Pancreatin BP
Tazid®,Ceftazidime
TazocilinTM,Piperacillin and Tazobactam
TebastTM,Ebastine BP
TerminexTM,Mifepristone & Misoprostol
Tesod®,Tegaserod Hydrogen Maleate
Tetrax®,Tetracycline HCl
ThyrinTM,Levothyroxine Sodium
TicametTM Cozycap,Salmeterol + Fluticasone 
TicametTM HFA,Salmeterol & Fluticasone Propionate BP
Ticas®,Fluticasone propionate
Tilex® Max,Glucosamine Sulfate & Diacerein
Timotor®,Trimebutine Maleate 
Togent®,Diphenhydramine HCl+ Zn Acetate
Topicort®,Hydrocortisone Acetate
Torax®,Ketorolac Tromethamine
TorelTM,Muscle rub
Tory®,Etoricoxib
Trevox IV Infusion®,Levofloxacin
Trevox®,Levofloxacin
Trispray®,Triamcenolone Acetonide
Trupan®,Pantoprazole
TruxilTM,Raubasine + Almitrine Bismesylate
Tryptin®,Amitryptyline HCl 
TulipTM,Ulipristal Acetate
Tusca®,Guaiphenesin + Pseudoephedrine + Triprolidine HCl
Ucol®,Tolterodine Tartrate
UrisetTM,Potassium Citrate & Citric Acid Monohydrate
Uriten®,Alfuzosin HCl 
UrocureTM,Nitrofurantoin USP
Valoate®,Sodium valproate+ Valproic acid
Vanprox®,Cefpodoxime Proxetil
Vasopril®,Enalapril Maleate
Verde®, 
Versia®,Neostigmine Methyl Sulphate
Viglimet®,Vildagliptin+Metformin
Viglita®,Vildagliptin
Vigorex®,Sildenafil Citrate INN
Viodin Mouthwash/Gargle®,Povidone Iodine
Viodin®,Povidone Iodine
Virux Tablet®,Aciclovir
Virux®,Aciclovir
Virux® 500 IV Injection,Acyclovir USP
Virux® HC,Aciclovir BP 5% & Hydrocortisone BP 1%
Xcid®,Calcium Carbonate
Xenole®,Naproxen+Esomeprazole
Xfin®,Terbinafine HCL
Xflam®,Dex-Ibuprofen
Xten®,Tenoxicam
XyloconTM,Oxymetazoline
ZanthinTM,Astaxanthin
Zesup®,Zinc Sulphate
Zif Forte®,Zinc sulphate Monohydrate +Carbonyl Iron+Folicacid+ Thi...
Zif-CI®,Zinc Sulfate+Folic Acid+Carbonyl Iron
Zif®,Zinc Sulphate Monohydrate + Ferrous Sulphate + Folic Ac...
Zifolet®,Folic Acid and Zinc Sulfate Monohydrate
Ziliron-B®,Iron (III) Hydroxide Polymaltose Complex, Folic Acid, T...
Ziliron®,Iron as Iron (III) hydroxide polymaltose complex + Foli...
Zimax®,Azithromycin
Zox®,Nitazoxanide
